frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"213","04:54:27.123674","66","1","10.1.1.1","5200","0.031281000","0","324390","5201","0.033311000"
"214","04:54:27.123953","66","1","10.1.1.1","5200","0.031560000","0","327286","5201","0.033590000"
"215","04:54:27.123961","7306","414166","10.1.1.2","5201","0.031568000","7240","1","5200","0.033598000"
"216","04:54:27.124147","66","1","10.1.1.1","5200","0.031754000","0","330182","5201","0.033784000"
"217","04:54:27.124412","66","1","10.1.1.1","5200","0.032019000","0","333078","5201","0.034049000"
"218","04:54:27.124680","66","1","10.1.1.1","5200","0.032287000","0","335974","5201","0.034317000"
"219","04:54:27.124687","7306","421406","10.1.1.2","5201","0.032294000","7240","1","5200","0.034324000"
"220","04:54:27.124883","66","1","10.1.1.1","5200","0.032490000","0","338870","5201","0.034520000"
"221","04:54:27.125152","66","1","10.1.1.1","5200","0.032759000","0","341766","5201","0.034789000"
"222","04:54:27.125158","7306","428646","10.1.1.2","5201","0.032765000","7240","1","5200","0.034795000"
"223","04:54:27.125422","66","1","10.1.1.1","5200","0.033029000","0","344662","5201","0.035059000"
"224","04:54:27.125622","66","1","10.1.1.1","5200","0.033229000","0","347558","5201","0.035259000"
"225","04:54:27.125629","7306","435886","10.1.1.2","5201","0.033236000","7240","1","5200","0.035266000"
"226","04:54:27.125894","66","1","10.1.1.1","5200","0.033501000","0","350454","5201","0.035531000"
"227","04:54:27.126161","66","1","10.1.1.1","5200","0.033768000","0","353350","5201","0.035798000"
"228","04:54:27.126360","66","1","10.1.1.1","5200","0.033967000","0","356246","5201","0.035997000"
"229","04:54:27.126368","7306","443126","10.1.1.2","5201","0.033975000","7240","1","5200","0.036005000"
"230","04:54:27.126627","66","1","10.1.1.1","5200","0.034234000","0","359142","5201","0.036264000"
"231","04:54:27.126899","66","1","10.1.1.1","5200","0.034506000","0","362038","5201","0.036536000"
"232","04:54:27.127102","66","1","10.1.1.1","5200","0.034709000","0","364934","5201","0.036739000"
"233","04:54:27.127108","8754","450366","10.1.1.2","5201","0.034715000","8688","1","5200","0.036745000"
"234","04:54:27.127394","66","1","10.1.1.1","5200","0.035001000","0","367830","5201","0.037031000"
"235","04:54:27.127636","66","1","10.1.1.1","5200","0.035243000","0","370726","5201","0.037273000"
"236","04:54:27.127843","66","1","10.1.1.1","5200","0.035450000","0","373622","5201","0.037480000"
"237","04:54:27.127851","10202","459054","10.1.1.2","5201","0.035458000","10136","1","5200","0.037488000"
"238","04:54:27.128115","66","1","10.1.1.1","5200","0.035722000","0","376518","5201","0.037752000"
